DOY,Ta (C),Tmax (C),RH (%),wind_speed (ms-1),wind_dir (Deg),precip (mm)
356,-0.53,1.50,103.42,0.18,168.43,11.18
357,-2.73,-1.00,101.54,0.19,273.38,0
358,-10.47,-7.00,94.54,0.18,240.75,0
359,-10.17,-3.80,98.16,0.19,248.94,0.25
360,-4.09,0.00,99.61,0.19,289.59,0.51
361,-3.76,3.00,98.75,0.19,269.56,0
362,1.1,5.00,101.21,2.74,240.34,0
363,1.57,5.00,89.6,4.66,249.72,0
364,-9.02,-7.00,69.46,4.45,241.92,0
365,-8.53,-6.00,81.18,4.87,240.14,0
